origin,dest,lat1,lon1,lat2,lon2,value
usa,chn,37.09024,-95.712891,35.86166,104.195397,640600459686.5
chn,usa,35.86166,104.195397,37.09024,-95.712891,640600459686.5
can,usa,56.130366,-106.34677099999999,37.09024,-95.712891,576922016355.0
usa,can,37.09024,-95.712891,56.130366,-106.34677099999999,576922016355.0
mex,usa,23.634501,-102.552784,37.09024,-95.712891,524601596517.0
usa,mex,37.09024,-95.712891,23.634501,-102.552784,524601596517.0
chn,hkg,35.86166,104.195397,22.396428,114.10949699999999,433970179396.5
hkg,chn,22.396428,114.10949699999999,35.86166,104.195397,433970179396.5
chn,jpn,35.86166,104.195397,36.204824,138.252924,314162272755.5
jpn,chn,36.204824,138.252924,35.86166,104.195397,314162272755.5
kor,chn,35.907757000000004,127.766922,35.86166,104.195397,266040104508.5
chn,kor,35.86166,104.195397,35.907757000000004,127.766922,266040104508.5
jpn,usa,36.204824,138.252924,37.09024,-95.712891,209580138407.0
usa,jpn,37.09024,-95.712891,36.204824,138.252924,209580138407.0
deu,chn,51.165690999999995,10.451526,35.86166,104.195397,199084187127.5
chn,deu,35.86166,104.195397,51.165690999999995,10.451526,199084187127.5
nld,deu,52.132633,5.291266,51.165690999999995,10.451526,195455414992.5
deu,nld,51.165690999999995,10.451526,52.132633,5.291266,195455414992.5
deu,usa,51.165690999999995,10.451526,37.09024,-95.712891,189411771470.0
usa,deu,37.09024,-95.712891,51.165690999999995,10.451526,189411771470.0
deu,fra,51.165690999999995,10.451526,46.227638,2.213749,187388555456.0
fra,deu,46.227638,2.213749,51.165690999999995,10.451526,187388555456.0
deu,ita,51.165690999999995,10.451526,41.87194,12.56738,141317665119.0
ita,deu,41.87194,12.56738,51.165690999999995,10.451526,141317665119.0
gbr,deu,55.378051,-3.435973,51.165690999999995,10.451526,141309201542.5
deu,gbr,51.165690999999995,10.451526,55.378051,-3.435973,141309201542.5
chn,aus,35.86166,104.195397,-25.274398,133.775136,130476797284.0
aus,chn,-25.274398,133.775136,35.86166,104.195397,130476797284.0
pol,deu,51.919438,19.145135999999997,51.165690999999995,10.451526,122110873646.5
deu,pol,51.165690999999995,10.451526,51.919438,19.145135999999997,122110873646.5
kor,usa,35.907757000000004,127.766922,37.09024,-95.712891,121718864728.5
usa,kor,37.09024,-95.712891,35.907757000000004,127.766922,121718864728.5
usa,gbr,37.09024,-95.712891,55.378051,-3.435973,118361420821.0
gbr,usa,55.378051,-3.435973,37.09024,-95.712891,118361420821.0
aut,deu,47.516231,14.550072,51.165690999999995,10.451526,116606190320.5
deu,aut,51.165690999999995,10.451526,47.516231,14.550072,116606190320.5
bel,deu,50.503887,4.469936,51.165690999999995,10.451526,114208471058.0
deu,bel,51.165690999999995,10.451526,50.503887,4.469936,114208471058.0
nld,bel,52.132633,5.291266,50.503887,4.469936,113982172486.5
bel,nld,50.503887,4.469936,52.132633,5.291266,113982172486.5
che,deu,46.818188,8.227511999999999,51.165690999999995,10.451526,111187797265.0
deu,che,51.165690999999995,10.451526,46.818188,8.227511999999999,111187797265.0
deu,cze,51.165690999999995,10.451526,49.817492,15.472961999999999,102565047087.5
cze,deu,49.817492,15.472961999999999,51.165690999999995,10.451526,102565047087.5
fra,bel,46.227638,2.213749,50.503887,4.469936,93314221609.0
bel,fra,50.503887,4.469936,46.227638,2.213749,93314221609.0
ita,fra,41.87194,12.56738,46.227638,2.213749,93080367008.5
fra,ita,46.227638,2.213749,41.87194,12.56738,93080367008.5
chn,rus,35.86166,104.195397,61.52401,105.31875600000001,90512829096.0
rus,chn,61.52401,105.31875600000001,35.86166,104.195397,90512829096.0
